benchmark,variant,method,failure_bucket,num_queries,num_failures,accuracy,failure_rate
locomo,dense_e5,proposed_learned_direct_valid,comparative_reasoning,2,2,0.0,1.0
locomo,dense_e5,proposed_learned_direct_valid,confident_selection_error,649,649,0.0,1.0
locomo,dense_e5,proposed_learned_direct_valid,correct,246,0,1.0,0.0
locomo,dense_e5,proposed_learned_direct_valid,empty_prediction,10,10,0.0,1.0
locomo,dense_e5,proposed_learned_direct_valid,retrieval_miss,328,328,0.0,1.0
locomo,dense_e5,proposed_learned_direct_valid,supported_but_wrong,751,751,0.0,1.0
locomo,dense_e5,proposed_learned_direct_valid_resolver,comparative_reasoning,2,2,0.0,1.0
locomo,dense_e5,proposed_learned_direct_valid_resolver,confident_selection_error,846,846,0.0,1.0
locomo,dense_e5,proposed_learned_direct_valid_resolver,correct,248,0,1.0,0.0
locomo,dense_e5,proposed_learned_direct_valid_resolver,empty_prediction,10,10,0.0,1.0
locomo,dense_e5,proposed_learned_direct_valid_resolver,retrieval_miss,330,330,0.0,1.0
locomo,dense_e5,proposed_learned_direct_valid_resolver,supported_but_wrong,550,550,0.0,1.0
locomo,dense_e5,reader_llama31_8b_instruct,comparative_reasoning,6,6,0.0,1.0
locomo,dense_e5,reader_llama31_8b_instruct,confident_selection_error,99,99,0.0,1.0
locomo,dense_e5,reader_llama31_8b_instruct,correct,18,0,1.0,0.0
locomo,dense_e5,reader_llama31_8b_instruct,empty_prediction,32,32,0.0,1.0
locomo,dense_e5,reader_llama31_8b_instruct,retrieval_miss,343,343,0.0,1.0
locomo,dense_e5,reader_llama31_8b_instruct,supported_but_wrong,1488,1488,0.0,1.0
locomo,dense_e5,reader_qwen25_7b_instruct,comparative_reasoning,6,6,0.0,1.0
locomo,dense_e5,reader_qwen25_7b_instruct,confident_selection_error,131,131,0.0,1.0
locomo,dense_e5,reader_qwen25_7b_instruct,correct,17,0,1.0,0.0
locomo,dense_e5,reader_qwen25_7b_instruct,empty_prediction,2,2,0.0,1.0
locomo,dense_e5,reader_qwen25_7b_instruct,retrieval_miss,344,344,0.0,1.0
locomo,dense_e5,reader_qwen25_7b_instruct,supported_but_wrong,1486,1486,0.0,1.0
locomo,dense_e5,retrieval_only_baseline,comparative_reasoning,2,2,0.0,1.0
locomo,dense_e5,retrieval_only_baseline,confident_selection_error,895,895,0.0,1.0
locomo,dense_e5,retrieval_only_baseline,correct,208,0,1.0,0.0
locomo,dense_e5,retrieval_only_baseline,empty_prediction,10,10,0.0,1.0
locomo,dense_e5,retrieval_only_baseline,retrieval_miss,329,329,0.0,1.0
locomo,dense_e5,retrieval_only_baseline,supported_but_wrong,542,542,0.0,1.0
locomo,dense_e5_rerank,proposed_learned_direct_valid,comparative_reasoning,1,1,0.0,1.0
locomo,dense_e5_rerank,proposed_learned_direct_valid,confident_selection_error,701,701,0.0,1.0
locomo,dense_e5_rerank,proposed_learned_direct_valid,correct,318,0,1.0,0.0
locomo,dense_e5_rerank,proposed_learned_direct_valid,empty_prediction,8,8,0.0,1.0
locomo,dense_e5_rerank,proposed_learned_direct_valid,retrieval_miss,282,282,0.0,1.0
locomo,dense_e5_rerank,proposed_learned_direct_valid,supported_but_wrong,676,676,0.0,1.0
locomo,dense_e5_rerank,proposed_learned_direct_valid_resolver,comparative_reasoning,1,1,0.0,1.0
locomo,dense_e5_rerank,proposed_learned_direct_valid_resolver,confident_selection_error,909,909,0.0,1.0
locomo,dense_e5_rerank,proposed_learned_direct_valid_resolver,correct,317,0,1.0,0.0
locomo,dense_e5_rerank,proposed_learned_direct_valid_resolver,empty_prediction,8,8,0.0,1.0
locomo,dense_e5_rerank,proposed_learned_direct_valid_resolver,retrieval_miss,281,281,0.0,1.0
locomo,dense_e5_rerank,proposed_learned_direct_valid_resolver,supported_but_wrong,470,470,0.0,1.0
locomo,dense_e5_rerank,reader_llama31_8b_instruct,comparative_reasoning,4,4,0.0,1.0
locomo,dense_e5_rerank,reader_llama31_8b_instruct,confident_selection_error,93,93,0.0,1.0
locomo,dense_e5_rerank,reader_llama31_8b_instruct,correct,28,0,1.0,0.0
locomo,dense_e5_rerank,reader_llama31_8b_instruct,empty_prediction,34,34,0.0,1.0
locomo,dense_e5_rerank,reader_llama31_8b_instruct,retrieval_miss,295,295,0.0,1.0
locomo,dense_e5_rerank,reader_llama31_8b_instruct,supported_but_wrong,1532,1532,0.0,1.0
locomo,dense_e5_rerank,reader_qwen25_7b_instruct,comparative_reasoning,5,5,0.0,1.0
locomo,dense_e5_rerank,reader_qwen25_7b_instruct,confident_selection_error,110,110,0.0,1.0
locomo,dense_e5_rerank,reader_qwen25_7b_instruct,correct,18,0,1.0,0.0
locomo,dense_e5_rerank,reader_qwen25_7b_instruct,empty_prediction,3,3,0.0,1.0
locomo,dense_e5_rerank,reader_qwen25_7b_instruct,retrieval_miss,295,295,0.0,1.0
locomo,dense_e5_rerank,reader_qwen25_7b_instruct,supported_but_wrong,1555,1555,0.0,1.0
locomo,dense_e5_rerank,retrieval_only_baseline,comparative_reasoning,1,1,0.0,1.0
locomo,dense_e5_rerank,retrieval_only_baseline,confident_selection_error,959,959,0.0,1.0
locomo,dense_e5_rerank,retrieval_only_baseline,correct,306,0,1.0,0.0
locomo,dense_e5_rerank,retrieval_only_baseline,empty_prediction,8,8,0.0,1.0
locomo,dense_e5_rerank,retrieval_only_baseline,retrieval_miss,285,285,0.0,1.0
locomo,dense_e5_rerank,retrieval_only_baseline,supported_but_wrong,427,427,0.0,1.0
locomo,hybrid_bge_m3,proposed_learned_direct_valid,comparative_reasoning,3,3,0.0,1.0
locomo,hybrid_bge_m3,proposed_learned_direct_valid,confident_selection_error,706,706,0.0,1.0
locomo,hybrid_bge_m3,proposed_learned_direct_valid,correct,261,0,1.0,0.0
locomo,hybrid_bge_m3,proposed_learned_direct_valid,empty_prediction,9,9,0.0,1.0
locomo,hybrid_bge_m3,proposed_learned_direct_valid,retrieval_miss,124,124,0.0,1.0
locomo,hybrid_bge_m3,proposed_learned_direct_valid,supported_but_wrong,883,883,0.0,1.0
locomo,hybrid_bge_m3,proposed_learned_direct_valid_resolver,comparative_reasoning,3,3,0.0,1.0
locomo,hybrid_bge_m3,proposed_learned_direct_valid_resolver,confident_selection_error,955,955,0.0,1.0
locomo,hybrid_bge_m3,proposed_learned_direct_valid_resolver,correct,258,0,1.0,0.0
locomo,hybrid_bge_m3,proposed_learned_direct_valid_resolver,empty_prediction,9,9,0.0,1.0
locomo,hybrid_bge_m3,proposed_learned_direct_valid_resolver,retrieval_miss,123,123,0.0,1.0
locomo,hybrid_bge_m3,proposed_learned_direct_valid_resolver,supported_but_wrong,638,638,0.0,1.0
locomo,hybrid_bge_m3,reader_llama31_8b_instruct,comparative_reasoning,6,6,0.0,1.0
locomo,hybrid_bge_m3,reader_llama31_8b_instruct,confident_selection_error,120,120,0.0,1.0
locomo,hybrid_bge_m3,reader_llama31_8b_instruct,correct,13,0,1.0,0.0
locomo,hybrid_bge_m3,reader_llama31_8b_instruct,empty_prediction,33,33,0.0,1.0
locomo,hybrid_bge_m3,reader_llama31_8b_instruct,retrieval_miss,132,132,0.0,1.0
locomo,hybrid_bge_m3,reader_llama31_8b_instruct,supported_but_wrong,1682,1682,0.0,1.0
locomo,hybrid_bge_m3,reader_qwen25_7b_instruct,comparative_reasoning,6,6,0.0,1.0
locomo,hybrid_bge_m3,reader_qwen25_7b_instruct,confident_selection_error,126,126,0.0,1.0
locomo,hybrid_bge_m3,reader_qwen25_7b_instruct,correct,15,0,1.0,0.0
locomo,hybrid_bge_m3,reader_qwen25_7b_instruct,empty_prediction,2,2,0.0,1.0
locomo,hybrid_bge_m3,reader_qwen25_7b_instruct,retrieval_miss,133,133,0.0,1.0
locomo,hybrid_bge_m3,reader_qwen25_7b_instruct,supported_but_wrong,1704,1704,0.0,1.0
locomo,hybrid_bge_m3,retrieval_only_baseline,comparative_reasoning,3,3,0.0,1.0
locomo,hybrid_bge_m3,retrieval_only_baseline,confident_selection_error,854,854,0.0,1.0
locomo,hybrid_bge_m3,retrieval_only_baseline,correct,229,0,1.0,0.0
locomo,hybrid_bge_m3,retrieval_only_baseline,empty_prediction,9,9,0.0,1.0
locomo,hybrid_bge_m3,retrieval_only_baseline,retrieval_miss,124,124,0.0,1.0
locomo,hybrid_bge_m3,retrieval_only_baseline,supported_but_wrong,767,767,0.0,1.0
locomo,hybrid_bge_m3_rerank,proposed_learned_direct_valid,comparative_reasoning,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,proposed_learned_direct_valid,confident_selection_error,707,707,0.0,1.0
locomo,hybrid_bge_m3_rerank,proposed_learned_direct_valid,correct,320,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,proposed_learned_direct_valid,empty_prediction,7,7,0.0,1.0
locomo,hybrid_bge_m3_rerank,proposed_learned_direct_valid,retrieval_miss,259,259,0.0,1.0
locomo,hybrid_bge_m3_rerank,proposed_learned_direct_valid,supported_but_wrong,692,692,0.0,1.0
locomo,hybrid_bge_m3_rerank,proposed_learned_direct_valid_resolver,comparative_reasoning,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,proposed_learned_direct_valid_resolver,confident_selection_error,934,934,0.0,1.0
locomo,hybrid_bge_m3_rerank,proposed_learned_direct_valid_resolver,correct,317,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,proposed_learned_direct_valid_resolver,empty_prediction,7,7,0.0,1.0
locomo,hybrid_bge_m3_rerank,proposed_learned_direct_valid_resolver,retrieval_miss,259,259,0.0,1.0
locomo,hybrid_bge_m3_rerank,proposed_learned_direct_valid_resolver,supported_but_wrong,468,468,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,comparative_reasoning,5,5,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,confident_selection_error,84,84,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,correct,14,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,empty_prediction,34,34,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,retrieval_miss,273,273,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,supported_but_wrong,1576,1576,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,comparative_reasoning,5,5,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,confident_selection_error,102,102,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,correct,14,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,empty_prediction,4,4,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,retrieval_miss,272,272,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,supported_but_wrong,1589,1589,0.0,1.0
locomo,hybrid_bge_m3_rerank,retrieval_only_baseline,comparative_reasoning,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,retrieval_only_baseline,confident_selection_error,965,965,0.0,1.0
locomo,hybrid_bge_m3_rerank,retrieval_only_baseline,correct,306,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,retrieval_only_baseline,empty_prediction,7,7,0.0,1.0
locomo,hybrid_bge_m3_rerank,retrieval_only_baseline,retrieval_miss,262,262,0.0,1.0
locomo,hybrid_bge_m3_rerank,retrieval_only_baseline,supported_but_wrong,445,445,0.0,1.0
locomo,tfidf,proposed_learned_direct_valid,comparative_reasoning,3,3,0.0,1.0
locomo,tfidf,proposed_learned_direct_valid,confident_selection_error,961,961,0.0,1.0
locomo,tfidf,proposed_learned_direct_valid,correct,287,0,1.0,0.0
locomo,tfidf,proposed_learned_direct_valid,empty_prediction,8,8,0.0,1.0
locomo,tfidf,proposed_learned_direct_valid,retrieval_miss,111,111,0.0,1.0
locomo,tfidf,proposed_learned_direct_valid,supported_but_wrong,616,616,0.0,1.0
locomo,tfidf,proposed_learned_direct_valid_resolver,comparative_reasoning,2,2,0.0,1.0
locomo,tfidf,proposed_learned_direct_valid_resolver,confident_selection_error,1117,1117,0.0,1.0
locomo,tfidf,proposed_learned_direct_valid_resolver,correct,286,0,1.0,0.0
locomo,tfidf,proposed_learned_direct_valid_resolver,empty_prediction,8,8,0.0,1.0
locomo,tfidf,proposed_learned_direct_valid_resolver,retrieval_miss,111,111,0.0,1.0
locomo,tfidf,proposed_learned_direct_valid_resolver,supported_but_wrong,462,462,0.0,1.0
locomo,tfidf,reader_llama31_8b_instruct,comparative_reasoning,7,7,0.0,1.0
locomo,tfidf,reader_llama31_8b_instruct,confident_selection_error,93,93,0.0,1.0
locomo,tfidf,reader_llama31_8b_instruct,correct,6,0,1.0,0.0
locomo,tfidf,reader_llama31_8b_instruct,empty_prediction,33,33,0.0,1.0
locomo,tfidf,reader_llama31_8b_instruct,retrieval_miss,119,119,0.0,1.0
locomo,tfidf,reader_llama31_8b_instruct,supported_but_wrong,1728,1728,0.0,1.0
