benchmark,variant,method,query_id,prompt,gold_answer,predicted_answer,is_correct,exact_match,question_bucket,answer_type,is_comparative,failure_bucket,retrieval_support_recall_at_final_k,confidence,confidence_margin
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,e47becba,What degree did I graduate with?,Business Administration,unknown,False,False,degree,degree,False,confident_selection_error,1.0,0.1778603239496732,0.40708
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,118b2229,How long is my daily commute to work?,45 minutes each way,unknown,False,False,duration,duration,False,confident_selection_error,1.0,0.18834401376311172,0.43842400000000004
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,51a45a95,Where did I redeem a $5 coupon on coffee creamer?,Target,unknown,False,False,where,where,False,confident_selection_error,1.0,0.2208552576702645,0.610169
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,58bf7951,What play did I attend at the local community theater?,The Glass Menagerie,unknown,False,False,title_or_name,title_or_name,False,confident_selection_error,1.0,0.21436890527235763,0.817694
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,1e043500,What is the name of the playlist I created on Spotify?,Summer Vibes,unknown,False,False,title_or_name,title_or_name,False,supported_but_wrong,1.0,0.1806937772968563,0.17164199999999996
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,c5e8278d,What was my last name before I changed it?,Johnson,Johnson,True,True,title_or_name,title_or_name,False,correct,1.0,0.19957213973814839,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,6ade9755,Where do I take yoga classes?,Serenity Yoga,Serenity Yoga,True,True,where,where,False,correct,1.0,0.2188606712086724,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,6f9b354f,What color did I repaint my bedroom walls?,a lighter shade of gray,unknown,False,False,color,color,False,supported_but_wrong,1.0,0.18170271709075775,0.16279100000000002
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,58ef2f1c,When did I volunteer at the local animal shelter's fundraising dinner?,February 14th,unknown,False,False,when,when,False,confident_selection_error,1.0,0.20338746110326295,0.539652
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,f8c5f88b,Where did I buy my new tennis racket from?,the sports store downtown,unknown,False,False,where,where,False,confident_selection_error,1.0,0.18517732774220963,0.47169799999999995
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,5d3d2817,What was my previous occupation?,Marketing specialist at a small startup,unknown,False,False,occupation,occupation,False,supported_but_wrong,1.0,0.15184145530408058,0.027451000000000003
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,7527f7e2,How much did I spend on a designer handbag?,$800,unknown,False,False,price,price,False,confident_selection_error,1.0,0.20808238083941555,0.6
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,c960da58,How many playlists do I have on Spotify?,20,unknown,False,False,quantity,quantity,False,confident_selection_error,1.0,0.19865663139176765,0.597765
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,3b6f954b,Where did I attend for my study abroad program?,University of Melbourne in Australia,unknown,False,False,where,where,False,retrieval_miss,0.0,0.22301574831344015,0.461538
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,726462e0,What was the discount I got on my first purchase from the new clothing brand?,10%,unknown,False,False,generic,generic,False,retrieval_miss,0.0,0.14934263207751425,0.06603800000000004
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,94f70d80,How long did it take me to assemble the IKEA bookshelf?,4 hours,unknown,False,False,duration,duration,False,supported_but_wrong,1.0,0.19466979471857734,0.020619000000000054
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,66f24dbb,What did I buy for my sister's birthday gift?,a yellow dress,unknown,False,False,generic,generic,False,confident_selection_error,1.0,0.21526205232949064,0.725714
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,ad7109d1,What speed is my new internet plan?,500 Mbps,unknown,False,False,speed,speed,False,confident_selection_error,1.0,0.19999135405597865,0.551852
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,af8d2e46,How many shirts did I pack for my 5-day trip to Costa Rica?,7,unknown,False,False,quantity,quantity,False,confident_selection_error,1.0,0.2339243735023386,0.675439
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,dccbc061,What was my previous stance on spirituality?,A staunch atheist,staunch atheist,True,False,generic,generic,False,correct,1.0,0.21305237209068595,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,c8c3f81d,What brand are my favorite running shoes?,Nike,unknown,False,False,brand,brand,False,confident_selection_error,1.0,0.21384905064273976,0.70945
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,8ebdbe50,What certification did I complete last month?,Data Science,unknown,False,False,field,field,False,confident_selection_error,1.0,0.18031318504852933,0.494505
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,6b168ec8,How many bikes do I own?,three,unknown,False,False,quantity,quantity,False,confident_selection_error,1.0,0.2682203963623443,0.532895
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,75499fd8,What breed is my dog?,Golden Retriever,unknown,False,False,breed,breed,False,confident_selection_error,1.0,0.18540121123717565,0.313333
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,21436231,How many largemouth bass did I catch on my fishing trip to Lake Michigan?,12,unknown,False,False,quantity,quantity,False,confident_selection_error,1.0,0.2817228716950357,0.669285
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,95bcc1c8,How many amateur comedians did I watch perform at the open mic night?,10,10,True,True,quantity,quantity,False,correct,1.0,0.4065884443700778,0.95339
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,0862e8bf,What is the name of my cat?,Luna,unknown,False,False,pet_name,pet_name,False,confident_selection_error,1.0,0.19863569007347717,0.637883
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,853b0a1d,How old was I when my grandma gave me the silver necklace?,18,unknown,False,False,generic,generic,False,supported_but_wrong,1.0,0.1547886494326574,0.11666699999999997
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,a06e4cfe,What is my preferred gin-to-vermouth ratio for a classic gin martini?,3:1,unknown,False,False,ratio,ratio,False,confident_selection_error,1.0,0.19872748424430844,0.601227
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,37d43f65,How much RAM did I upgrade my laptop to?,16GB,unknown,False,False,price,price,False,confident_selection_error,1.0,0.29482752616219043,0.835962
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,b86304ba,How much is the painting of a sunset worth in terms of the amount I paid for it?,The painting is worth triple what I paid for it.,unknown,False,False,price,price,False,confident_selection_error,1.0,0.1741251393873888,0.271845
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,d52b4f67,Where did I attend my cousin's wedding?,The Grand Ballroom,unknown,False,False,where,where,False,retrieval_miss,0.0,0.19005863829723407,0.46923099999999995
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,25e5aa4f,Where did I complete my Bachelor's degree in Computer Science?,"University of California, Los Angeles (UCLA)",unknown,False,False,where,where,False,confident_selection_error,1.0,0.19023728728159625,0.41481500000000004
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,caf9ead2,How long did it take to move to the new apartment?,5 hours,unknown,False,False,duration,duration,False,confident_selection_error,1.0,0.1897650634607971,0.465241
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,8550ddae,What type of cocktail recipe did I try last weekend?,lavender gin fizz,unknown,False,False,item_name,item_name,False,confident_selection_error,1.0,0.2056638352313779,0.43565600000000004
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,60d45044,What type of rice is my favorite?,Japanese short-grain rice,unknown,False,False,item_name,item_name,False,confident_selection_error,1.0,0.19861326338923138,0.36144600000000005
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,3f1e9474,Who did I have a conversation with about destiny?,Sarah,Sarah,True,True,person_name,person_name,False,correct,1.0,0.4488817941697233,1.6112250000000001
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,86b68151,Where did I buy my new bookshelf from?,IKEA,unknown,False,False,where,where,False,supported_but_wrong,1.0,0.156432953465819,0.05208299999999999
