[locomo] convert_raw_external
[locomo] skip convert_raw_external (already done)
[locomo] prepare_external
[locomo] skip prepare_external (already done)
[locomo] run_external_retrieval variant=tfidf
[retrieval] 1/1986 query_id=conv-26_qa0000
[retrieval] 2/1986 query_id=conv-26_qa0001
[retrieval] 3/1986 query_id=conv-26_qa0002
[retrieval] 4/1986 query_id=conv-26_qa0003
[retrieval] 5/1986 query_id=conv-26_qa0004
[retrieval] 6/1986 query_id=conv-26_qa0005
[retrieval] 7/1986 query_id=conv-26_qa0006
[retrieval] 8/1986 query_id=conv-26_qa0007
[retrieval] 9/1986 query_id=conv-26_qa0008
[retrieval] 10/1986 query_id=conv-26_qa0009
[retrieval] 11/1986 query_id=conv-26_qa0010
[retrieval] 12/1986 query_id=conv-26_qa0011
[retrieval] 13/1986 query_id=conv-26_qa0012
[retrieval] 14/1986 query_id=conv-26_qa0013
[retrieval] 15/1986 query_id=conv-26_qa0014
[retrieval] 16/1986 query_id=conv-26_qa0015
[retrieval] 17/1986 query_id=conv-26_qa0016
[retrieval] 18/1986 query_id=conv-26_qa0017
[retrieval] 19/1986 query_id=conv-26_qa0018
[retrieval] 20/1986 query_id=conv-26_qa0019
[retrieval] 21/1986 query_id=conv-26_qa0020
[retrieval] 22/1986 query_id=conv-26_qa0021
[retrieval] 23/1986 query_id=conv-26_qa0022
[retrieval] 24/1986 query_id=conv-26_qa0023
[retrieval] 25/1986 query_id=conv-26_qa0024
[retrieval] 26/1986 query_id=conv-26_qa0025
[retrieval] 27/1986 query_id=conv-26_qa0026
[retrieval] 28/1986 query_id=conv-26_qa0027
[retrieval] 29/1986 query_id=conv-26_qa0028
[retrieval] 30/1986 query_id=conv-26_qa0029
[retrieval] 31/1986 query_id=conv-26_qa0030
[retrieval] 32/1986 query_id=conv-26_qa0031
[retrieval] 33/1986 query_id=conv-26_qa0032
[retrieval] 34/1986 query_id=conv-26_qa0033
[retrieval] 35/1986 query_id=conv-26_qa0034
[retrieval] 36/1986 query_id=conv-26_qa0035
[retrieval] 37/1986 query_id=conv-26_qa0036
[retrieval] 38/1986 query_id=conv-26_qa0037
[retrieval] 39/1986 query_id=conv-26_qa0038
[retrieval] 40/1986 query_id=conv-26_qa0039
[retrieval] 41/1986 query_id=conv-26_qa0040
[retrieval] 42/1986 query_id=conv-26_qa0041
[retrieval] 43/1986 query_id=conv-26_qa0042
[retrieval] 44/1986 query_id=conv-26_qa0043
[retrieval] 45/1986 query_id=conv-26_qa0044
[retrieval] 46/1986 query_id=conv-26_qa0045
[retrieval] 47/1986 query_id=conv-26_qa0046
[retrieval] 48/1986 query_id=conv-26_qa0047
[retrieval] 49/1986 query_id=conv-26_qa0048
[retrieval] 50/1986 query_id=conv-26_qa0049
[retrieval] 51/1986 query_id=conv-26_qa0050
[retrieval] 52/1986 query_id=conv-26_qa0051
[retrieval] 53/1986 query_id=conv-26_qa0052
[retrieval] 54/1986 query_id=conv-26_qa0053
[retrieval] 55/1986 query_id=conv-26_qa0054
[retrieval] 56/1986 query_id=conv-26_qa0055
[retrieval] 57/1986 query_id=conv-26_qa0056
[retrieval] 58/1986 query_id=conv-26_qa0057
[retrieval] 59/1986 query_id=conv-26_qa0058
[retrieval] 60/1986 query_id=conv-26_qa0059
[retrieval] 61/1986 query_id=conv-26_qa0060
[retrieval] 62/1986 query_id=conv-26_qa0061
[retrieval] 63/1986 query_id=conv-26_qa0062
[retrieval] 64/1986 query_id=conv-26_qa0063
[retrieval] 65/1986 query_id=conv-26_qa0064
[retrieval] 66/1986 query_id=conv-26_qa0065
[retrieval] 67/1986 query_id=conv-26_qa0066
[retrieval] 68/1986 query_id=conv-26_qa0067
[retrieval] 69/1986 query_id=conv-26_qa0068
[retrieval] 70/1986 query_id=conv-26_qa0069
[retrieval] 71/1986 query_id=conv-26_qa0070
[retrieval] 72/1986 query_id=conv-26_qa0071
[retrieval] 73/1986 query_id=conv-26_qa0072
[retrieval] 74/1986 query_id=conv-26_qa0073
[retrieval] 75/1986 query_id=conv-26_qa0074
[retrieval] 76/1986 query_id=conv-26_qa0075
[retrieval] 77/1986 query_id=conv-26_qa0076
[retrieval] 78/1986 query_id=conv-26_qa0077
[retrieval] 79/1986 query_id=conv-26_qa0078
[retrieval] 80/1986 query_id=conv-26_qa0079
[retrieval] 81/1986 query_id=conv-26_qa0080
[retrieval] 82/1986 query_id=conv-26_qa0081
[retrieval] 83/1986 query_id=conv-26_qa0082
[retrieval] 84/1986 query_id=conv-26_qa0083
[retrieval] 85/1986 query_id=conv-26_qa0084
[retrieval] 86/1986 query_id=conv-26_qa0085
[retrieval] 87/1986 query_id=conv-26_qa0086
[retrieval] 88/1986 query_id=conv-26_qa0087
[retrieval] 89/1986 query_id=conv-26_qa0088
[retrieval] 90/1986 query_id=conv-26_qa0089
[retrieval] 91/1986 query_id=conv-26_qa0090
[retrieval] 92/1986 query_id=conv-26_qa0091
[retrieval] 93/1986 query_id=conv-26_qa0092
[retrieval] 94/1986 query_id=conv-26_qa0093
[retrieval] 95/1986 query_id=conv-26_qa0094
[retrieval] 96/1986 query_id=conv-26_qa0095
[retrieval] 97/1986 query_id=conv-26_qa0096
[retrieval] 98/1986 query_id=conv-26_qa0097
[retrieval] 99/1986 query_id=conv-26_qa0098
[retrieval] 100/1986 query_id=conv-26_qa0099
[retrieval] 101/1986 query_id=conv-26_qa0100
[retrieval] 102/1986 query_id=conv-26_qa0101
[retrieval] 103/1986 query_id=conv-26_qa0102
[retrieval] 104/1986 query_id=conv-26_qa0103
[retrieval] 105/1986 query_id=conv-26_qa0104
[retrieval] 106/1986 query_id=conv-26_qa0105
[retrieval] 107/1986 query_id=conv-26_qa0106
[retrieval] 108/1986 query_id=conv-26_qa0107
[retrieval] 109/1986 query_id=conv-26_qa0108
[retrieval] 110/1986 query_id=conv-26_qa0109
[retrieval] 111/1986 query_id=conv-26_qa0110
