benchmark,variant,method,question_bucket,num_queries,num_failures,accuracy,failure_rate
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,activity_list,44,41,0.068182,0.931818
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,breed,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,color,4,3,0.25,0.75
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,degree,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,duration,35,34,0.028571,0.971429
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,event_name,89,75,0.157303,0.842697
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,field,2,2,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,generic,876,824,0.059361,0.940639
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,generic:comparative,3,2,0.333333,0.666667
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,group_name,53,48,0.09434,0.90566
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,identity,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,item_name,182,169,0.071429,0.928571
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,item_name:comparative,1,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,judgment,44,33,0.25,0.75
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,judgment:comparative,5,5,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,occupation,3,3,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,person_name,52,42,0.192308,0.807692
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,pet_name,12,8,0.333333,0.666667
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,preference_choice:comparative,2,2,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,price,2,2,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,quantity,37,26,0.297297,0.702703
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,quantity:comparative,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,ratio,12,12,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,status,1,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,time_of_day,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,title_or_name,160,143,0.10625,0.89375
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,when,271,271,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,where,91,70,0.230769,0.769231
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,activity_list,44,42,0.045455,0.954545
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,breed,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,color,4,3,0.25,0.75
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,degree,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,duration,35,34,0.028571,0.971429
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,event_name,89,74,0.168539,0.831461
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,field,2,2,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,generic,876,822,0.061644,0.938356
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,generic:comparative,3,3,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,group_name,53,47,0.113208,0.886792
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,identity,1,1,0.0,1.0
