benchmark,variant,method,question_bucket,num_queries,num_failures,accuracy,failure_rate
locomo,dense_e5,proposed_learned_direct_valid,activity_list,44,38,0.136364,0.863636
locomo,dense_e5,proposed_learned_direct_valid,breed,1,1,0.0,1.0
locomo,dense_e5,proposed_learned_direct_valid,color,4,4,0.0,1.0
locomo,dense_e5,proposed_learned_direct_valid,degree,1,1,0.0,1.0
locomo,dense_e5,proposed_learned_direct_valid,duration,35,30,0.142857,0.857143
locomo,dense_e5,proposed_learned_direct_valid,event_name,89,80,0.101124,0.898876
locomo,dense_e5,proposed_learned_direct_valid,field,2,1,0.5,0.5
locomo,dense_e5,proposed_learned_direct_valid,generic,876,848,0.031963,0.968037
locomo,dense_e5,proposed_learned_direct_valid,generic:comparative,3,1,0.666667,0.333333
locomo,dense_e5,proposed_learned_direct_valid,group_name,53,49,0.075472,0.924528
locomo,dense_e5,proposed_learned_direct_valid,identity,1,1,0.0,1.0
locomo,dense_e5,proposed_learned_direct_valid,item_name,182,165,0.093407,0.906593
locomo,dense_e5,proposed_learned_direct_valid,item_name:comparative,1,0,1.0,0.0
locomo,dense_e5,proposed_learned_direct_valid,judgment,44,31,0.295455,0.704545
locomo,dense_e5,proposed_learned_direct_valid,judgment:comparative,5,1,0.8,0.2
locomo,dense_e5,proposed_learned_direct_valid,occupation,3,3,0.0,1.0
locomo,dense_e5,proposed_learned_direct_valid,person_name,52,47,0.096154,0.903846
locomo,dense_e5,proposed_learned_direct_valid,pet_name,12,8,0.333333,0.666667
locomo,dense_e5,proposed_learned_direct_valid,preference_choice:comparative,2,0,1.0,0.0
locomo,dense_e5,proposed_learned_direct_valid,price,2,1,0.5,0.5
locomo,dense_e5,proposed_learned_direct_valid,quantity,37,33,0.108108,0.891892
locomo,dense_e5,proposed_learned_direct_valid,quantity:comparative,1,1,0.0,1.0
locomo,dense_e5,proposed_learned_direct_valid,ratio,12,12,0.0,1.0
locomo,dense_e5,proposed_learned_direct_valid,status,1,1,0.0,1.0
