benchmark,variant,method,failure_bucket,num_queries,num_failures,accuracy,failure_rate
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,comparative_reasoning,2,2,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,confident_selection_error,424,424,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,correct,368,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,retrieval_miss,263,263,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,supported_but_wrong,929,929,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,comparative_reasoning,3,3,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,confident_selection_error,731,731,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,correct,313,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,retrieval_miss,267,267,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,supported_but_wrong,672,672,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,comparative_reasoning,24,24,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,confident_selection_error,176,176,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,correct,73,0,1.0,0.0
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,retrieval_miss,14,14,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,supported_but_wrong,213,213,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,comparative_reasoning,26,26,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,confident_selection_error,233,233,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,correct,64,0,1.0,0.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,retrieval_miss,14,14,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,supported_but_wrong,163,163,0.0,1.0
