benchmark,variant,method,question_bucket,num_queries,num_failures,accuracy,failure_rate
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,activity_list,44,36,0.181818,0.818182
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,breed,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,color,4,3,0.25,0.75
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,degree,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,duration,35,31,0.114286,0.885714
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,event_name,89,73,0.179775,0.820225
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,field,2,2,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,generic,876,777,0.113014,0.886986
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,generic:comparative,3,1,0.666667,0.333333
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,group_name,53,43,0.188679,0.811321
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,identity,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,item_name,182,157,0.137363,0.862637
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,item_name:comparative,1,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,judgment,44,28,0.363636,0.636364
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,judgment:comparative,5,4,0.2,0.8
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,occupation,3,3,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,person_name,52,42,0.192308,0.807692
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,pet_name,12,4,0.666667,0.333333
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,preference_choice:comparative,2,2,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,price,2,2,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,quantity,37,21,0.432432,0.567568
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,quantity:comparative,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,ratio,12,12,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,status,1,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,time_of_day,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,title_or_name,160,137,0.14375,0.85625
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,when,271,270,0.00369,0.99631
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,where,91,63,0.307692,0.692308
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,activity_list,44,38,0.136364,0.863636
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,breed,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,color,4,3,0.25,0.75
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,degree,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,duration,35,31,0.114286,0.885714
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,event_name,89,72,0.191011,0.808989
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,field,2,1,0.5,0.5
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,generic,876,776,0.114155,0.885845
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,generic:comparative,3,1,0.666667,0.333333
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,group_name,53,45,0.150943,0.849057
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,identity,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,item_name,182,160,0.120879,0.879121
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,item_name:comparative,1,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,judgment,44,37,0.159091,0.840909
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,judgment:comparative,5,5,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,occupation,3,3,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,person_name,52,43,0.173077,0.826923
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,pet_name,12,3,0.75,0.25
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,preference_choice:comparative,2,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,price,2,2,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,quantity,37,27,0.27027,0.72973
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,quantity:comparative,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,ratio,12,12,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,status,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,time_of_day,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,title_or_name,160,134,0.1625,0.8375
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,when,271,270,0.00369,0.99631
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,where,91,68,0.252747,0.747253
