benchmark,variant,method,question_bucket,num_queries,num_failures,accuracy,failure_rate
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,activity_list,44,36,0.181818,0.818182
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,breed,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,color,4,3,0.25,0.75
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,degree,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,duration,35,31,0.114286,0.885714
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,event_name,89,73,0.179775,0.820225
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,field,2,2,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,generic,876,773,0.11758,0.88242
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,generic:comparative,3,1,0.666667,0.333333
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,group_name,53,42,0.207547,0.792453
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,identity,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,item_name,182,157,0.137363,0.862637
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,item_name:comparative,1,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,judgment,44,28,0.363636,0.636364
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,judgment:comparative,5,4,0.2,0.8
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,occupation,3,3,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,person_name,52,41,0.211538,0.788462
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,pet_name,12,3,0.75,0.25
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,preference_choice:comparative,2,2,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,price,2,2,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,quantity,37,24,0.351351,0.648649
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,quantity:comparative,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,ratio,12,12,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,status,1,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,time_of_day,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,title_or_name,160,136,0.15,0.85
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,when,271,177,0.346863,0.653137
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,where,91,63,0.307692,0.692308
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,activity_list,44,39,0.113636,0.886364
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,breed,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,color,4,3,0.25,0.75
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,degree,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,duration,35,31,0.114286,0.885714
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,event_name,89,72,0.191011,0.808989
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,field,2,2,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,generic,876,789,0.099315,0.900685
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,generic:comparative,3,2,0.333333,0.666667
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,group_name,53,44,0.169811,0.830189
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,identity,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,item_name,182,163,0.104396,0.895604
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,item_name:comparative,1,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,judgment,44,40,0.090909,0.909091
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,judgment:comparative,5,5,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,occupation,3,3,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,person_name,52,43,0.173077,0.826923
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,pet_name,12,4,0.666667,0.333333
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,preference_choice:comparative,2,2,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,price,2,2,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,quantity,37,28,0.243243,0.756757
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,quantity:comparative,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,ratio,12,12,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,status,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,time_of_day,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,title_or_name,160,141,0.11875,0.88125
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,when,271,177,0.346863,0.653137
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,where,91,65,0.285714,0.714286
